#Título,Descripción
El presupuesto insular,"El presupuesto del Consell es aprobado por el Pleno y especifica los gastos que como máximo se realizarán durante el ejercicio y los ingresos que se prevén obtener durante el mismo periodo. Si al comenzar el año no hubieran aprobado el presupuesto, la normativa establece que se prorroga automáticamente el del ejercicio anterior."
Cómo se clasifica el presupuesto de gasto,"Los gastos del presupuesto se clasifican de acuerdo a tres clasificaciones diferentes:<ul><li>Orgánica: que informa de quien realiza el gasto.</li><li>Por programas, que informa sobre en qué se gasta, es decir, la finalidad del gasto.</li><li>Económica, que informa sobre cómo se gasta, sobre la naturaleza económica del gasto.</li></ul>"
Clasificación económica del presupuesto de gasto,"La clasificación económica del presupuesto de gasto informa de cómo se gasta. Los créditos del presupuesto de gasto se ordenan según su naturaleza económica, distinguiendo entre los créditos destinados a operaciones corrientes, como los gastos necesarios para el funcionamiento de los servicios públicos (gastos de personal y bienes y servicios), los créditos destinados a operaciones de capital (como los gastos en inversiones reales) y los créditos destinados a operaciones de carácter financiero (como las amortizaciones de los préstamos que han recibido las entidades locales)."
Clasificación por programas del presupuesto de gasto,La clasificación por programas del presupuesto de gasto informa sobre la finalidad y los objetivos que se pretenden conseguir con los créditos: para qué se gasta.
Cómo se clasifica el presupuesto de ingresos,"El presupuesto de ingresos se puede clasificar de acuerdo con la siguiente clasificación:<ul><li>Clasificación económica, que presenta la información según la naturaleza económica de los derechos presupuestarios.</li><li>Clasificación orgánica, que informa sobre quien ingresa. Las entidades locales pueden clasificar los ingresos atendiendo a su propia estructura. Es una posibilidad que tienen las entidades locales y, por tanto, una clasificación de carácter opcional.</li></ul>"
Tasas y precios públicos,"Cuando el Consell realiza actividades que benefician o interesan particularmente a los ciudadanos, puede exigir tasas o precios públicos. Un ejemplo típico de actividades por las cuales se exige una tasa es la Inspección Técnica de Vehículos (ITV). La diferencia entre una tasa y un precio público es que la tasa se establece para servicios que sólo presta el Consell (ejemplo, la ITV), y el precio público se utiliza para aquellos servicios que también pueden ser prestados por una empresa privada (como por ejemplo las entradas a instalaciones deportivas, escuelas infantiles, etc.)."
Resultado presupuestario ajustado,"El resultado presupuestario ajustado forma parte del estado de liquidación del presupuesto y es la diferencia entre los derechos de cobro que se han liquidado en el ejercicio y las obligaciones de pago reconocidas en el mismo periodo. Por tanto, es una magnitud que refleja el superávit o déficit del ejercicio del Consell."
Remanente de tesoreria para gastos generales,"El remanente de tesorería para gastos generales forma parte del estado de liquidación del presupuesto y es la suma de los derechos pendientes de cobro (del mismo ejercicio y del anterior) más los fondos líquidos de tesorería y menos los créditos pendientes de pago (del mismo ejercicio y del anterior). Esta magnitud no significa un sobrante de tesorería, es sencillamente el resultado líquido que se obtendría en el hipotético caso que se cobrasen todos los derechos reconocidos y se pagaran todas las obligaciones reconocidas, tanto presupuestarias como no presupuestarias, teniendo en cuenta las desviaciones de financiación afectadas positivas acumuladas."
Ahorro neto,"La magnitud del ahorro neto es un indicador de la situación financiera de la entidad, de la capacidad de poder atender en su vencimiento la carga financiera del endeudamiento. Se calcula de la siguiente manera: suma de los ingresos liquidados correspondiente a impuestos, tasas y precios públicos, transferencias corrientes y ingresos patrimoniales, menos los gastos relativos a personal, bienes corrientes y servicios y transferencias corrientes (no se contemplan los gastos financiados con remanente de tesorería para gastos generales). A este resultado se le tiene que restar la anualidad teórica de amortización correspondiente a los préstamos concertados a largo plazo y a los avales a terceros pendientes de reembolsar."
Periodo medio de pago,"El indicador Periodo medio de pago (PMP) mide el plazo que transcurre desde la entrega de los bienes o la prestación de los servicios a cargo del proveedor y el pago material de la operación. Según la normativa vigente este periodo no puede superar los 30 días."
Capacidad de financiación,"La capacidad o necesidad de financiación mide la diferencia entre los ingresos no financieros y los gastos no financieros. Cuando el resultado es positivo (capacidad de financiación), indica que la entidad tiene capacidad de financiación o superávit de presupuesto no financiero. En cambio, si el resultado es negativo, indica que la entidad necesita financiación, es decir, que tiene que recurrir al endeudamiento."
Regla del gasto,"La regla del gasto establece un techo de gasto para el presupuesto de las Administraciones públicas. La normativa vigente establece que el gasto computable del presupuesto no puede superar la tasa de referencia del producto interior bruto (PIB) a medio plazo de la economía española, siendo posible superarla únicamente en el supuesto de que ese exceso se compense con aumentos de ingresos de carácter permanente."
Deuda viva,"La deuda viva es la totalidad de la deuda pendiente de pagar que tiene el Consell procedente de préstamos a largo plazo con entidades financieras y avales, es decir, es el capital pendiente de amortizar más los intereses generados."
