#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales
1.0,43200.0,1010000.0,Retribucions bàsiques personal gabinet,,4.0,1.0,48041.14
1.0,43200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,11771.63
1.0,43200.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,102334.46
1.0,43200.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,6363.6
1.0,43200.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,45359.67
1.0,43200.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,6688.04
1.0,43200.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,61256.39
1.0,43200.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,763.72
1.0,43200.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,8805.04
1.0,43200.0,1500000.0,Productivitat personal funcionari de  carrera,,4.0,1.0,2077.2
1.0,43200.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,18940.56
1.0,43200.0,1600000.0,Seguretat social,,4.0,1.0,96160.73
1.0,43200.0,2020000.0,Lloguers,,4.0,2.0,37525.76
1.0,43200.0,2120000.0,Manteniment edificis i altres construccions,,4.0,2.0,500.0
1.0,43200.0,2210000.0,Subministrament energia elèctrica,,4.0,2.0,1000.0
1.0,43200.0,2210300.0,Subministrament de combustible,,4.0,2.0,500.0
1.0,43200.0,2220000.0,Comunicacions,,4.0,2.0,650.0
1.0,43200.0,2230000.0,Transports,,4.0,2.0,6500.0
1.0,43200.0,2240000.0,Assegurances,,4.0,2.0,200.0
1.0,43200.0,2250000.0,Tributs estatals,,4.0,2.0,1500.0
1.0,43200.0,2250200.0,Tributs,,4.0,2.0,150.0
1.0,43200.0,2260200.0,Difusió i campanyes de divulgació,,4.0,2.0,8100.0
1.0,43200.0,2260600.0,Reunions,,4.0,2.0,3000.0
1.0,43200.0,2260601.0,Jornades i Congressos,,4.0,2.0,50000.0
1.0,43200.0,2269900.0,Despeses diverses,,4.0,2.0,3300.0
1.0,43200.0,2300000.0,Dels membres dels òrgans de govern,,4.0,2.0,1000.0
1.0,43200.0,2310000.0,Indemnització per raó del servei - Quilometratge,,4.0,2.0,500.0
1.0,43200.0,2600000.0,Treballs realitzats per Institucions sense fins de lucre.,,4.0,2.0,24200.0
1.0,43200.0,4790000.0,Ajuts nominatius empreses privades,,4.0,4.0,508200.0
1.0,43200.0,4810000.0,Beques i premis,,4.0,4.0,5000.0
1.0,43200.0,4890000.0,Aportació a Fundació foment del Turisme de Menorca,,4.0,4.0,950000.0
1.0,43200.0,4890001.0,Ajuts nominatius de famílies i instit. sense ànim de lucre,,4.0,4.0,372000.0
1.0,43200.0,6220000.0,Inversió nova en edificis i altres construccions,,4.0,6.0,50000.0
1.0,43200.0,6270002.0,Pla Sostenibilitat turística: Projecte S'Enclusa a Ferreries,,4.0,6.0,666666.66
1.0,43200.0,7620000.0,A Ajuntaments.,,4.0,7.0,200000.0
1.0,43200.0,7890000.0,A famílies i institucions sense fins de lucre,,4.0,7.0,3556116.04
1.0,91200.0,1000000.0,Retribucions d'alts càrrecs,,9.0,1.0,642714.29
1.0,91200.0,1010000.0,Retribucions bàsiques personal gabinet,,9.0,1.0,96082.28
1.0,91200.0,1100000.0,Retribucions bàsiques i altres del personal eventual,,9.0,1.0,227678.67
1.0,91200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,9.0,1.0,26651.14
1.0,91200.0,1210000.0,Complement destí personal funcionari de carrera,,9.0,1.0,11642.23
1.0,91200.0,1210100.0,Complement específic personal funcionari de carrera,,9.0,1.0,13604.09
1.0,91200.0,1210300.0,Altres complements personal funcionari de carrera,,9.0,1.0,3409.5
1.0,91200.0,1500000.0,Productivitat personal funcionari de carrera,,9.0,1.0,3992.4
1.0,91200.0,1600000.0,Seguretat Social,,9.0,1.0,314962.97
1.0,91200.0,2130000.0,Manteniment i reparació d'instal.lacions i maquinària,,9.0,2.0,1300.0
1.0,91200.0,2140000.0,Manteniment d'elements de transport,,9.0,2.0,1000.0
1.0,91200.0,2200000.0,Material d'oficina ordinari,,9.0,2.0,650.0
1.0,91200.0,2200100.0,Subscripcions i publicacions,,9.0,2.0,6000.0
1.0,91200.0,2210300.0,Subministrament combustible,,9.0,2.0,1000.0
1.0,91200.0,2230000.0,Transports,,9.0,2.0,7500.0
1.0,91200.0,2240000.0,Assegurances,,9.0,2.0,1100.0
1.0,91200.0,2250200.0,Tributs entitats locals,,9.0,2.0,3000.0
1.0,91200.0,2260100.0,Despeses de protocol,,9.0,2.0,15000.0
1.0,91200.0,2260200.0,Difusió i campanyes de divulgació,,9.0,2.0,70000.0
1.0,91200.0,2269900.0,Despeses diverses,,9.0,2.0,5000.0
1.0,91200.0,2300000.0,Dietes de càrrecs electes dels òrgans de govern,,9.0,2.0,1000.0
1.0,91200.0,2300001.0,Dietes membres oposició,,9.0,2.0,1000.0
1.0,91200.0,2301000.0,Dietes directors insulars,,9.0,2.0,1000.0
1.0,91200.0,2302000.0,Indemnitzacions per raó del servei. Dietes,,9.0,2.0,1500.0
1.0,91200.0,2310000.0,Indemnització per raó del servei. Quilometratge,,9.0,2.0,2700.0
1.0,91200.0,4110001.0,CESM,,9.0,4.0,29250.0
1.0,91200.0,4110003.0,Institut Menorquí d'Estudis,,9.0,4.0,867000.0
