#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales
1.0,43200.0,1010000.0,Retribucions bàsiques personal de gabinet,,4.0,1.0,47117.27
1.0,43200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,11038.08
1.0,43200.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,88015.17
1.0,43200.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,6118.41
1.0,43200.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,35753.2
1.0,43200.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,6430.35
1.0,43200.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,50598.06
1.0,43200.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,734.3
1.0,43200.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,3463.39
1.0,43200.0,1500000.0,Productivitat personal funcionari de  carrera,,4.0,1.0,2077.2
1.0,43200.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,16944.36
1.0,43200.0,1600000.0,Seguretat social,,4.0,1.0,84108.85
1.0,43200.0,2020000.0,Lloguers,,4.0,2.0,37525.76
1.0,43200.0,2120000.0,Manteniment edificis i altres construccions,,4.0,2.0,500.0
1.0,43200.0,2210000.0,Subministrament energia elèctrica,,4.0,2.0,1000.0
1.0,43200.0,2210300.0,Subministrament de combustible,,4.0,2.0,500.0
1.0,43200.0,2220000.0,Comunicacions,,4.0,2.0,650.0
1.0,43200.0,2230000.0,Transports,,4.0,2.0,6500.0
1.0,43200.0,2240000.0,Assegurances,,4.0,2.0,200.0
1.0,43200.0,2250000.0,Tributs estatals,,4.0,2.0,1500.0
1.0,43200.0,2250200.0,Tributs,,4.0,2.0,150.0
1.0,43200.0,2260200.0,Difusió i campanyes de divulgació,,4.0,2.0,8100.0
1.0,43200.0,2260600.0,"Reunions, conferències i cursos",,4.0,2.0,3000.0
1.0,43200.0,2269900.0,Despeses diverses,,4.0,2.0,3300.0
1.0,43200.0,2270600.0,Estudis i treballs tècnics,,4.0,2.0,0.0
1.0,43200.0,2300000.0,Dels membres dels òrgans de govern,,4.0,2.0,1000.0
1.0,43200.0,2310000.0,DELS MEMBRES DELS ÒRGANS DE GOVERN,,4.0,2.0,500.0
1.0,43200.0,2600000.0,Treballs realitzats per Institucions sense fins de lucre.,,4.0,2.0,24200.0
1.0,43200.0,4620000.0,Transferències a Ajuntaments.,,4.0,4.0,300000.0
1.0,43200.0,4790000.0,Ajuts nominatius empreses privades,,4.0,4.0,174700.0
1.0,43200.0,4810000.0,Beques i premis,,4.0,4.0,500.0
1.0,43200.0,4890000.0,Aportació a Fundació foment del Turisme de Menorca,,4.0,4.0,950000.0
1.0,43200.0,4890001.0,Ajuts nominatius de famílies i instit. sense ànim de lucre,,4.0,4.0,257900.0
1.0,43200.0,6220000.0,Inversió nova en edificis i altres construccions,,4.0,6.0,25000.0
1.0,43200.0,6270000.0,Pla sostenibilitat turística: Projecte Menorca Reserva Biosf,,4.0,6.0,1597000.0
1.0,43200.0,6270001.0,Pla Sostenibilitat Turística: Projecte Port de Maó 2030.,,4.0,6.0,3636500.0
1.0,43200.0,7400000.0,Aportació a Fundació Foment del Turisme de Menorca,,4.0,7.0,3556116.04
1.0,91200.0,1000000.0,Retribucions d'alts càrrecs,,9.0,1.0,630354.4
1.0,91200.0,1010000.0,Retribucions bàsiques personal gabinet,,9.0,1.0,94234.54
