#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos netos
10000.0,Impost sobre la renda IRPF,1186174.32,0.0,1186174.32,998356.83
17100.0,Recàrrec IAE,450000.0,0.0,450000.0,108243.25
21000.0,Impost sobre el Valor afegit (IVA),1817020.16,0.0,1817020.16,1511525.96
22000.0,Impost sobre l'alcohol i begudes derivades,21274.48,0.0,21274.48,10724.44
22001.0,Impost especial sobre la cervesa,6000.64,0.0,6000.64,4402.65
22003.0,Impost especial sobre el tabac,105772.24,0.0,105772.24,25183.5
22004.0,Impost especial sobre el combustible,181793.96,0.0,181793.96,94701.78
22006.0,Altres imposts especials,675.68,0.0,675.68,538.65
30900.0,Taxa Incendis,14202.0,0.0,14202.0,4840.96
31100.0,Taxes Discapacitats,175000.0,0.0,175000.0,131622.6
31110.0,Taxes Residència de Gent Gran,780000.0,0.0,780000.0,609419.31
31130.0,Taxes Centre de dia d'Alzheimer,50000.0,0.0,50000.0,43432.48
32000.0,Taxes transferència caça i pesca fluvial,110000.0,0.0,110000.0,116351.96
32200.0,Taxes Habitabilitat,45000.0,0.0,45000.0,29161.1
32300.0,Taxes Ordenació Territorial i Urbanisme,8000.0,0.0,8000.0,5103.17
32500.0,Taxes Expedició de documents,3000.0,0.0,3000.0,0.0
32900.0,Taxes Centre acollida animals,18000.0,0.0,18000.0,14289.15
32901.0,Taxes ITV,1323498.85,0.0,1323498.85,471494.97
32920.0,Taxes Transports,30000.0,0.0,30000.0,79099.67
32930.0,Taxes Ordenació Turística,75000.0,0.0,75000.0,27340.82
32940.0,Taxes Agricultura i Pesca,75000.0,0.0,75000.0,46313.56
32950.0,Taxa Artesania,1000.0,0.0,1000.0,0.0
32960.0,Taxes activitats d'espectacles públics i recreatives,0.0,0.0,0.0,3528.32
32970.0,Drets d'examen,0.0,0.0,0.0,0.0
33900.0,Taxa per ús espai Museu de Menorca,1000.0,0.0,1000.0,225.0
33901.0,Taxa per servei visites Llatzeret,15000.0,0.0,15000.0,19197.0
